>pool1_scaffold248_1
1	593	-	3	1.275102	I:	D:
189	959	+	3	1.249215	I:	D:
998	1984	+	2	1.256605	I:	D:
2007	2825	+	3	1.246387	I:	D:
2822	3523	+	2	1.226267	I:	D:
3526	4080	-	1	1.257364	I:	D:
4121	4807	+	2	1.228524	I:	D:
5087	5797	-	2	1.309147	I:	D:
5845	6492	-	1	1.285511	I:	D:
6562	6768	-	1	1.266510	I:	D:
7594	8214	-	1	1.257230	I:	D:
8415	9884	-	3	1.258895	I:	D:
9957	11090	-	3	1.260982	I:	D:
11308	11880	-	1	1.309002	I:	D:
11888	12673	-	2	1.274984	I:	D:
12660	13598	+	3	1.308404	I:	D:
13652	15736	+	2	1.294748	I:	D:
15743	17191	-	2	1.290475	I:	D:
17284	18546	+	1	1.234348	I:	D:
18559	19761	+	1	1.313335	I:	D:
19791	21158	-	3	1.255367	I:	D:
21177	22601	-	3	1.272131	I:	D:
22606	24543	-	1	1.241705	I:	D:
24586	24897	-	1	1.317680	I:	D:
24910	26328	-	1	1.292871	I:	D:
26575	27864	+	1	1.313202	I:	D:
27953	29053	+	2	1.260900	I:	D:
29665	30471	+	1	1.271085	I:	D:
30474	31196	+	3	1.303973	I:	D:
31340	33740	+	2	1.251222	I:	D:
