>pool1_scaffold258_1
1	1746	+	1	1.318140	I:	D:
1979	4210	+	2	1.341540	I:	D:
4238	4792	+	2	1.348546	I:	D:
4830	5840	+	3	1.327439	I:	D:
5872	8148	+	1	1.360521	I:	D:
8246	10513	+	2	1.342195	I:	D:
10708	11142	+	1	1.346692	I:	D:
11203	11370	+	1	1.394088	I:	D:
11412	12746	-	3	1.315454	I:	D:
12777	14207	-	3	1.314567	I:	D:
14241	15395	-	3	1.307331	I:	D:
15404	16480	-	2	1.314094	I:	D:
16505	18118	-	2	1.314818	I:	D:
18135	21542	-	3	1.313633	I:	D:
21743	23161	-	2	1.330144	I:	D:
23257	23943	+	1	1.281109	I:	D:
23976	24110	-	3	1.355856	I:	D:
23943	24713	+	3	1.324154	I:	D:
24704	25237	+	2	1.330907	I:	D:
25272	26711	-	3	1.335960	I:	D:
26855	29668	-	2	1.325567	I:	D:
29749	30207	-	1	1.329704	I:	D:
30234	31295	+	3	1.339149	I:	D:
31419	32315	-	3	1.332644	I:	D:
32710	33930	+	1	1.349006	I:	D:
33951	34493	+	3	1.340276	I:	D:
34775	34942	+	2	1.350304	I:	D:
35000	35176	+	2	1.343971	I:	D:
35405	36121	+	2	1.372468	I:	D:
36774	36914	-	3	1.349874	I:	D:
36998	39283	+	2	1.349854	I:	D:
