>pool1_scaffold42_1
1	489	-	1	1.287702	I:	D:
631	2562	-	1	1.223303	I:	D:
2754	4127	-	3	1.255539	I:	D:
4178	4987	-	2	1.303694	I:	D:
5115	5954	-	3	1.238968	I:	D:
6053	7006	-	2	1.306888	I:	D:
7252	7635	-	1	1.239829	I:	D:
7688	7882	-	2	1.277925	I:	D:
7901	8599	-	2	1.257554	I:	D:
8888	10879	-	2	1.256355	I:	D:
10900	11709	+	1	1.271953	I:	D:
11881	12936	+	1	1.233763	I:	D:
13054	13569	+	1	1.232797	I:	D:
13662	14666	-	3	1.278064	I:	D:
14853	15803	+	3	1.233090	I:	D:
16150	16401	-	1	1.300410	I:	D:
16398	16979	-	3	1.265415	I:	D:
17110	18663	+	1	1.257189	I:	D:
18683	19927	+	2	1.266777	I:	D:
19924	20649	+	1	1.256444	I:	D:
20809	22443	-	1	1.239364	I:	D:
22590	24191	+	3	1.243192	I:	D:
24201	24722	+	3	1.280260	I:	D:
24810	26522	-	3	1.224539	I:	D:
26527	27702	-	1	1.233745	I:	D:
27704	28777	-	2	1.263673	I:	D:
28869	30494	-	3	1.239852	I:	D:
30862	32088	+	1	1.271209	I:	D:
32119	32512	+	1	1.224045	I:	D:
