>scaffold77_1
1	3671	-	3	1.328195	I:	D:
3692	5467	-	2	1.314157	I:	D:
5464	6474	-	1	1.318590	I:	D:
6482	6871	-	2	1.302670	I:	D:
7032	7685	-	3	1.303537	I:	D:
7675	10689	-	1	1.319118	I:	D:
10942	13923	+	1	1.286128	I:	D:
13965	15404	+	3	1.307735	I:	D:
15410	16660	+	2	1.328876	I:	D:
16733	18436	+	2	1.308568	I:	D:
18522	21959	+	3	1.293641	I:	D:
22088	22828	+	2	1.328413	I:	D:
23168	23545	+	2	1.363222	I:	D:
23464	23961	+	1	1.331787	I:	D:
24022	24555	+	1	1.276023	I:	D:
24552	25262	+	3	1.333505	I:	D:
25400	29068	+	2	1.288408	I:	D:
29072	30529	+	2	1.288310	I:	D:
30564	33191	+	3	1.310033	I:	D:
33195	33719	-	3	1.310335	I:	D:
33737	34441	-	2	1.310965	I:	D:
34460	35230	-	2	1.306444	I:	D:
35253	35961	-	3	1.313373	I:	D:
