>scaffold58_1
1	360	-	1	1.234403	I:	D:
586	2778	-	1	1.198229	I:	D:
3262	3813	-	1	1.187597	I:	D:
3890	4348	+	2	1.207017	I:	D:
4350	4493	-	3	1.232721	I:	D:
4764	6152	-	3	1.174478	I:	D:
6149	6466	-	2	1.188847	I:	D:
6609	6956	+	3	1.184285	I:	D:
6916	7578	+	1	1.209204	I:	D:
7575	7985	+	3	1.213197	I:	D:
7870	8442	+	1	1.209941	I:	D:
8542	9678	-	1	1.197848	I:	D:
9749	12286	-	2	1.187593	I:	D:
12020	12601	+	2	1.214733	I:	D:
12598	13542	+	1	1.172005	I:	D:
13552	14124	+	1	1.226451	I:	D:
13452	14483	+	3	1.253537	I:	D:
14499	14729	-	3	1.207918	I:	D:
14763	15704	-	3	1.214554	I:	D:
16031	16858	-	2	1.203082	I:	D:
16977	19667	-	3	1.172012	I:	D:
19775	20350	-	2	1.191899	I:	D:
20531	21067	-	2	1.189979	I:	D:
21219	22181	+	3	1.187491	I:	D:
20156	22834	+	2	1.212940	I:	D:
22837	23475	-	1	1.247025	I:	D:
23584	25770	-	1	1.202666	I:	D:
25776	26291	-	3	1.254897	I:	D:
25983	27941	+	3	1.209849	I:	D:
27953	28459	+	2	1.321971	I:	D:
28459	29019	+	1	1.161762	I:	D:
29024	30109	+	2	1.207153	I:	D:
30120	31352	-	3	1.210647	I:	D:
31349	32608	-	2	1.203761	I:	D:
31877	33250	+	2	1.188028	I:	D:
33263	33817	+	2	1.181160	I:	D:
33850	34351	+	1	1.258919	I:	D:
