BF4, F_1, lcl|scaffold196_1, BLASTN, 0.0, 98.4745762711864, 581, 661, 590, 70, 9390, 9979, 2
BF4, R_1, lcl|scaffold199_1, BLASTN, 0.0, 99.8480243161094, 657, 720, 658, 63, 1, 658, 2
BT2, F_1, lcl|scaffold258_1, BLASTN, 0.0, 97.1238938053097, 439, 517, 452, 64, 3, 452, 1
BT2, R_1, lcl|scaffold258_1, BLASTN, 0.0, 98.4198645598194, 436, 510, 443, 68, 38842, 39283, 1
Cel-1, F_1, lcl|scaffold10_1, BLASTN, 0.0, 98.0434782608696, 902, 1000, 920, 83, 1, 916, 2
Cel-1, R_1, lcl|scaffold7_1, BLASTN, 0.0, 99.3670886075949, 471, 563, 474, 90, 1, 474, 2
Cel-3-22-2, F_1, lcl|scaffold10_1, BLASTN, 0.0, 98.1052631578947, 466, 559, 475, 83, 3, 477, 2
Cel-3-22-2, R_1, lcl|scaffold7_1, BLASTN, 0.0, 99.7772828507795, 448, 561, 449, 89, 1, 449, 2
Cel-3-24-2, F_1, lcl|scaffold10_1, BLASTN, 0.0, 97.4130240856378, 1092, 1214, 1121, 82, 1, 1110, 2
Cel-3-24-2, R_1, lcl|scaffold7_1, BLASTN, 0.0, 99.205298013245, 749, 849, 755, 92, 2, 755, 2
Cel-32-1, F_1, lcl|scaffold10_1, BLASTN, 0.0, 98.1052631578947, 466, 559, 475, 83, 3, 477, 2
Cel-32-1, R_1, lcl|scaffold7_1, BLASTN, 0.0, 99.7772828507795, 448, 561, 449, 89, 1, 449, 2
Cel-60-1, F_1, lcl|scaffold15_1, BLASTN, 0.0, 98.3833718244804, 426, 545, 433, 107, 2625, 3056, 2
Cel-60-1, R_1, lcl|scaffold26_1, BLASTN, 0.0, 98.7381703470031, 939, 1042, 951, 92, 1, 948, 2
Mel-125, F_1, lcl|scaffold138_1, BLASTN, 0.0, 98.4764542936288, 711, 847, 722, 125, 1, 718, 2
Mel-125, R_1, lcl|scaffold138_3, BLASTN, 2e-169, 97.9472140762463, 334, 436, 341, 95, 20662, 21002, 2
Mel-126, F_1, lcl|scaffold100_1, BLASTN, 0.0, 99.7159090909091, 351, 479, 352, 126, 1, 352, 2
Mel-126, R_1, lcl|scaffold205_1, BLASTN, 0.0, 99.2628992628993, 404, 516, 407, 93, 7457, 7863, 2
